taxonID;acceptedNameUsageID;scientificName;taxonRank;nameAccordingToID;nameAccordingTo;kingdom;phylum;class;order
3296956;;Biciamsporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3564243;;Bicidisporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3281882;;Biciframopiosporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3300487;;Bicuamsporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3279405;;Bicufrasporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3559278;;Bicumusporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3273810;;Biflaamsporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3557145;;Bigucidisporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3300680;;Bigudisporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3292260;;Bisporaceae Nann.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3297817;;Bjerkanderaceae Jülich;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3301313;;Blasteniaceae C.W. Dodge & G.E. Baker;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3305117;;Blastoconidiaceae Vörös & Léránth;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3295643;;Blastomycetaceae Moreau ex Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3284442;;Bloxamiaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3302241;;Blumeriaceae V.P. Gelyuta;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3297824;;Boletellaceae Jülich;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3566559;;Boletinaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3296403;;Boletoideae Schultz;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3556932;;Boletopsidaceae Bondartsev & Singer ex Jülich;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3305688;;Bopiosporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3296365;;Borreraceae M. Choisy;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3272679;;Botryoblastoconidiaceae Vörös & Léránth;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3296353;;Botryoconiaceae Cif. & Vegni;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3295618;;Botryohypochnaceae Jülich;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3307967;;Bouamsasporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3296311;;Brauniellaceae Singer;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3564069;;Brauniellulaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3296590;;Brefeldiaceae Rostaf. ex Cooke;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3296580;;Bursullaceae Zopf ex Berl.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3295160;;Byssaceae Adans.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3287353;;Byssisedaceae Bonord.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3297689;;Byssocaulaceae Zahlbr.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3295607;;Byssocorticaceae Jülich;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3280384;;Byssophytaceae Stizenb.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3564060;;Cacumisporiaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3294462;;Caeomaceae Corda;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3562673;;Caeomataceae Chevall.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3558242;;Calloriaceae L. Marchand;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
